Airport_Code,Airport Name,City,State_Code,Latitude,Longitude,Elevation_FT,Tower Freq
01G,PERRY-WARSAW,PERRY,NY,42.741667,-78.05,1557,122.8
01GA,MEDLIFE AMULATORY,COLUMBUS,GA,32.48,-84.978333,319,
01H,MC CHRISTY,STONINGTON,IL,39.643333,-89.145,630,
01I,AUGUST ACRES,CENTER VILLAGE,OH,40.163333,-82.781667,1100,122.9
01II,MYERS FIELD,LIZTON,IN,39.885,-86.506667,950,
01IL,HOOPESTON COMMUNITY MEMORIAL HOS,HOOPESTON,IL,40.458333,-87.66,583,
01J,HILLIARD AIRPARK,HILLIARD,FL,30.688333,-81.906667,59,122.9
01K,CALDWELL MUNI,CALDWELL,KS,37.036667,-97.586667,1157,122.9
01KS,FLYING N RANCH,LOST SPRINGS,KS,38.54,-97.003333,1485,
01LA,BARHAM,OAK RIDGE,LA,32.638333,-91.773333,90,
01LL,SCHUMAIER RLA,PINCKNEYVILLE,IL,38.125,-89.463333,555,
01M,TISHOMINGO COUNTY,BELMONT,MS,34.491667,-88.201667,578,122.8
01MA,DIGITAL/DASCOMB ROAD,ANDOVER,MA,42.625,-71.18,140,
01MI,FLOW THROUGH TERMINAL,FLINT,MI,43.05,-83.68,736,
01MN,BARNES,COOK,MN,47.9,-92.556667,1358,
01MO,HIGHWAY PATROL TROOP C HEADQUART,TOWN AND COUNTRY,MO,38.641667,-90.485,625,
01N,CRUMLING,HELLAM,PA,40.013333,-76.586667,420,
01NC,TOPSAIL AIRPARK,HOLLY RIDGE,NC,34.475,-77.581667,65,
01NE,DETOUR,WELLFLEET,NE,40.843333,-100.65333,3000,
01NJ,ALBERT GUIDO MEMORIAL,NEWARK,NJ,40.741667,-74.136667,10,
01NY,VASSAR HOSPITAL,POUGHKEEPSIE,NY,41.7,-73.95,100,
01OH,GILLMOR,FREMONT,OH,41.283333,-83.148333,665,
01OK,LAWRENCE,EAKLY,OK,35.295,-98.636667,1525,
01OR,RED & WHITE FLYING SERVICE,SILVER LAKE,OR,43.12,-121.045,4346,
01PA,PINE,MARS,PA,40.655,-80.051667,1215,
01PN,BIERLY(PERSONAL USE),BELLEFONTE,PA,40.93,-77.738333,960,
01Q,IANNI STRIP,HANFORD,CA,36.266667,-119.54333,240,
01TA,RED ADAIR,HOUSTON,TX,29.84,-95.505,90,
01TS,ST JOSEPH HOSPITAL,FORT WORTH,TX,32.728333,-97.325,675,
01TX,MIMS FARM,WAXAHACHIE,TX,32.388333,-96.876667,610,
01U,DUCKWATER,DUCKWATER,NV,38.851667,-115.63333,5124,122.9
01V,AURORA AIRPARK,AURORA,CO,39.733333,-104.655,5680,122.8
01W,SAWYER,NEW CHURCH,VA,37.99,-75.591667,13,
01WA,WILLAPA HARBOR,SOUTH BEND,WA,46.663333,-123.81167,154,
01X,JACKSON MEMORIAL HOSPITAL,MIAMI,FL,25.791667,-80.211667,8,
01XS,MEADOWOOD RANCH,ATHENS,TX,32.02,-95.745,500,
02A,GRAGG-WADE FIELD,CLANTON,AL,32.85,-86.611667,586,122.8
02AK,RUSTIC WILDERNESS,WILLOW,AK,61.875,-150.095,190,
02B,YALE MOTOR INN,WALLINGFORD,CT,41.495,-72.805,90,122.9
02C,CAPITOL,BROOKFIELD,WI,43.088333,-88.178333,850,122.7
02CA,SWEPI BETA PLATFORM ELLEN,HUNTINGTON BEACH,CA,33.583333,-118.12833,122,
02CO,MC CULLOUGH,MONTE VISTA,CO,37.643333,-106.04667,7615,
02E,MESA LUTHERAN HOSPITAL,MESA,AZ,33.435,-111.84167,1248,
02F,SMITH FIELD,FORNEY,TX,32.738333,-96.428333,505,
02FD,DOCTOR'S MEMORIAL HOSPITAL,BONIFAY,FL,30.785,-85.678333,170,
02FL,FLORIDA POWER CORP GENERAL HQ HE,ST PETERSBURG,FL,27.74,-82.681667,64,
02G,COLUMBIANA COUNTY,EAST LIVERPOOL,OH,40.673333,-80.641667,1160,123
02GA,DOUG BOLTON FIELD,COMMERCE,GA,34.203333,-83.428333,884,
02H,DAILY RLA,SULLIVAN,IL,39.555,-88.473333,660,
02IL,SHISSLER FARM,ELMWOOD,IL,40.796667,-89.986667,650,
02IS,CONDELL MEMORIAL HOSPITAL,LIBERTYVILLE,IL,42.275,-87.956667,720,
02K,ARROWHEAD,ST LOUIS,MO,38.696667,-90.52,451,122.9
02KS,JMJ LANDING,ST MARYS,KS,39.221667,-96.055,1170,
02L,FIVE POINTS RANCH,FIVE POINTS,CA,36.425,-120.265,295,
02LA,LA STATE POLICE TROOP G,BOSSIER CITY,LA,32.531667,-93.66,168,
02LL,OFFICIAL AIRLINE GUIDES,OAK BROOK,IL,41.85,-87.933333,670,
02M,WEST BOLIVAR FLYING SERVICE,BENOIT,MS,33.653333,-90.988333,136,
02MA,CUTTYHUNK,GOSNOLD,MA,41.42,-70.926667,9,
02MI,NITZ,MILFORD,MI,42.535,-83.676667,970,
02MN,BIRCH LAKE,DEERWOOD,MN,46.376667,-93.813333,1278,
02MO,BALDWIN AIRPARK,TROY,MO,39.05,-91.033333,675,
02NC,OAKRIDGE FARM,BOILING SPRINGS,NC,35.176667,-81.645,830,
02ND,DRESDEN FIELD,DRESDEN,ND,48.808333,-98.523333,1600,
02NE,BENES SERVICE,VALPARAISO,NE,41.075,-96.905,1550,
02NJ,PENSKE,PISCATAWAY,NJ,40.556667,-74.466667,78,
02NY,HANSEN,DURHAMVILLE,NY,43.133333,-75.655,435,
02OH,ZIMMERMAN,FREMONT,OH,41.376667,-83.083333,614,
02OI,MURTHA,CONNEAUT,OH,41.801667,-80.565,950,
02OK,CANON,OKLAHOMA CITY,OK,35.458333,-97.525,1191,
02OR,ROWENA DELL,THE DALLES,OR,45.681667,-121.31667,705,
02PN,PECO BERWYN,BERWYN,PA,40.07,-75.455,390,
02Q,ST ROSE HOSPITAL HELISTOP,HAYWARD,CA,37.633333,-122.08833,90,
02T,WISE RIVER,WISE RIVER,MT,45.768333,-112.98167,5830,122.9
02TA,MATAGORDA SHORE FACILITY,MATAGORDA,TX,28.721667,-95.873333,5,
02TS,FWOMC,FORT WORTH,TX,32.748333,-97.37,684,
02TX,GRAND VALLEY LANDS,RIO VISTA,TX,32.233333,-97.4,700,
02V,PINE VIEW,ELIZABETH,CO,39.345,-104.58167,6572,
02VA,THE GREENHOUSE,CULPEPER,VA,38.435,-77.856667,320,
02W,DECK AIRPARK,APEX,NC,35.741667,-78.925,338,
02WA,CAWLEYS SOUTH PRAIRIE,SOUTH PRAIRIE,WA,47.151667,-122.09333,690,
02WI,BEER,HUDSON,WI,45.031667,-92.655,920,
02X,BISCAYNE,MIAMI,FL,25.883333,-80.161667,0,
02XS,SEIDEL RANCH,ELROY,TX,30.148333,-97.663333,510,
02Y,GREENBUSH MUNI,GREENBUSH,MN,48.683333,-96.191667,1070,122.9
03A,SOUTHERN AERO SPORTS,CROSS ANCHOR,SC,34.625,-81.898333,600,
03B,RALPHS,WINDSOR,CT,41.865,-72.621667,10,122.9
03CA,GROSSMONT HOSPITAL,LA MESA,CA,32.78,-117.00667,634,
03FD,THARPE,BONIFAY,FL,30.828333,-85.731667,115,
03FL,RANGER,WEST PALM BEACH,FL,26.683333,-80.186667,20,
03G,HOWELL,SOMERTON,OH,39.933333,-81.158333,1277,122.9
03GA,FENNER,JACKSON,GA,33.21,-84.11,735,
03I,CLARKS DREAM STRIP,CIRCLEVILLE,OH,39.645,-83.018333,680,122.9
03II,DAVIS FIELD,MOUNT VERNON,IN,37.961667,-87.778333,465,
03IL,WIX,MONEE,IL,41.401667,-87.816667,750,
03IS,ST ANTHONY'S,ALTON,IL,38.905,-90.173333,580,
03J,MILLS RANCH,CHIEFLAND,FL,29.453333,-82.83,40,
03K,STATE FAIRGROUNDS,SPRINGFIELD,IL,39.838333,-89.638333,650,
03KS,VALLEY GRAIN,HIGHLAND,KS,39.865,-95.263333,1160,
03LA,DAMIEN,CARVILLE,LA,30.2,-91.128333,25,
03LL,THORNTON,TOLEDO,IL,39.341667,-88.291667,635,
03M,LAKESIDE MARINA,WINTHROP,ME,44.321667,-69.89,165,122.9
03MI,HAROLD MILLER,BAY CITY,MI,43.551667,-83.861667,585,
03MO,CAHOOCHIE,URBANA,MO,37.885,-93.131667,1010,
03N,UTIRIK,UTIRIK ISLAND,RM,11.233333,168.15,4,122.9
03NC,PILOTS RIDGE,CAROLINA BEACH,NC,34.105,-77.905,35,
03ND,OLAFSON BROTHERS,EDINBURG,ND,48.626667,-97.828333,1045,
03NE,HYDE RANCH,COMSTOCK,NE,41.546667,-99.331667,2430,
03NJ,AT&T,BERKELY HEIGHTS,NJ,40.668333,-74.41,360,
03NY,TALMAGE FLD,RIVERHEAD,NY,40.958333,-72.716667,95,
03OH,GIBBS FIELD,FREMONT,OH,41.418333,-83.016667,580,
03OI,MARYMOUNT HOSPITAL,GARFIELD HEIGHTS,OH,41.421667,-81.6,890,
03OR,POWWATKA RIDGE,TROY,OR,45.855,-117.485,3500,
03PA,COLLEGEVILLE,COLLEGEVILLE,PA,40.163333,-75.465,197,
03Q,BOTTIMORE RANCH,HERALD,CA,38.303333,-121.25167,70,
03R,ARANSAS PASS,ARANSAS PASS,TX,27.883333,-97.148333,4,122.8
03S,SANDY RIVER,SANDY,OR,45.401667,-122.22833,704,122.8
03T,GAY HILL FARM,GAY HILL,TX,30.263333,-96.5,505,
03TX,M D K FIELD,PEARLAND,TX,29.581667,-95.306667,50,
03U,GEYSER RANCH,ELY/PIOCHE,NV,38.663333,-114.63167,5977,122.9
03V,SAN LUIS,SAN LUIS,CO,37.191667,-105.46333,7969,122.9
03VA,WHIPOORWILL SPRINGS,NOKESVILLE,VA,38.665,-77.58,250,
03W,LEE CREEK,AURORA,NC,35.39,-76.785,3,
03WA,SPANGLE FIELD,SPANGLE,WA,47.408333,-117.37167,2440,
03WI,ZINK,BERLIN,WI,44.026667,-88.881667,880,
03X,EMERGENCY,MIAMI BEACH,FL,25.815,-80.141667,6,
03XS,JIM HOGG COUNTY,HEBBRONVILLE,TX,27.35,-98.736667,662,122.8
03Y,HALLOCK MUNI,HALLOCK,MN,48.753333,-96.943333,819,122.8
04A,FRANK SIKES,LUVERNE,AL,31.736667,-86.261667,300,122.8
04AK,LINDA CREEK,WISEMAN,AK,67.525,-149.82333,1400,
04CA,COYOTE FLATS,BISHOP,CA,37.201667,-118.47667,9988,
04CO,DENVER WATER DEPARTMENT,DENVER,CO,39.73,-105.01,5220,
04D,CERES,CERES,PA,42.008333,-78.258333,1440,
04F,DE LEON MUNI,DE LEON,TX,32.098333,-98.525,1293,122.9
04FD,HALL FARM,BRANFORD,FL,29.92,-82.903333,45,
04FL,CROSS CREEK FARMS,ORMOND,FL,29.24,-81.221667,30,
04G,LANSDOWNE,YOUNGSTOWN,OH,41.13,-80.62,1057,122.8
04H,HERREN,TIMEWELL,IL,40.088333,-90.885,654,
04I,COLUMBUS SOUTHWEST,COLUMBUS,OH,39.911667,-83.188333,920,122.9
04II,TURKEY RUN,NEW HAVEN,IN,41.13,-84.993333,765,
04IL,SCHERTZ,HUDSON,IL,40.638333,-89.006667,755,
04IS,VAN GORDER,MANSFIELD,IL,40.178333,-88.568333,728,
04J,DARLINGTON COUNTY,DARLINGTON,SC,34.448333,-79.89,193,122.8
04KS,ROBINSON INDUSTRIES,LAWRENCE,KS,38.978333,-95.22,835,
04L,CONOVER AIR LODGE,FRAZIER PARK,CA,34.761667,-119.05833,5160,
04LA,LOGGY BAYOU PLANTATION,RINGGOLD,LA,32.273333,-93.406667,275,
04LL,BRUNNER,WEST DUNDEE,IL,42.136667,-88.288333,750,
04M,CALHOUN COUNTY,BRUCE,MS,33.93,-89.343333,383,122.9
04MI,RAPIDS AIRWAY,EATON RAPIDS,MI,42.535,-84.628333,880,
04MN,HELBLAD,KELLIHER,MN,47.985,-94.686667,1195,
04MO,AIRPARK PVT,VANDALIA,MO,39.301667,-91.451667,767,
04N,MARLBORO ARPT INC,MARLBORO,NY,41.633333,-74.016667,410,122.9
04NC,WESTERN WAKE MEDICAL CENTER,CARY,NC,35.74,-78.781667,445,
04ND,HAHN FIELD,EMBDEN,ND,46.726667,-97.44,1064,
04NE,MC CONNELL FIELD,SARBEN,NE,41.16,-101.29833,3035,
04NJ,EMMANUEL,ELMER,NJ,39.596667,-75.233333,155,
04NY,CLAVERACK,HUDSON,NY,42.261667,-73.696667,250,
04OH,BOSSOW,GARRETTSVILLE,OH,41.248333,-81.1,1080,
04OI,HERR II,GRAND RAPIDS,OH,41.42,-83.796667,665,
04OK,STILLWATER MEDICAL CENTER,STILLWATER,OK,36.115,-97.08,984,
04OR,COLLINS LANDING STRIP,MITCHELL,OR,44.75,-120.20167,1500,
04PA,S & C DISTRIBUTION CENTER,PHILADELPHIA,PA,39.88,-75.228333,50,
04PN,STRAWBRIDGE & CLOTHIER EXTON,EXTON,PA,40.03,-75.63,320,
04Q,CHRISTENSEN RANCH,HOLLISTER,CA,36.871667,-121.33667,380,
04S,JOYE RANCH,SMILEY,TX,29.241667,-97.628333,280,122.9
04T,FLY-N-FISH LODGE,UNCERTAIN,TX,32.713333,-94.125,195,122.9
04TA,CAPITOL NATIONAL BANK BUILDING,AUSTIN,TX,30.271667,-97.745,540,
04TS,HUMMINGBIRD,HUTTO,TX,30.553333,-97.606667,690,
04TX,POCOCK,CHINA SPRING,TX,31.731667,-97.368333,565,
04U,KIRKEBY RANCH,ELY,NV,38.903333,-114.39,5980,122.9
04V,SAGUACHE MUNI,SAGUACHE,CO,38.096667,-106.16833,7826,122.9
04VA,VINT HILLS FARM STATION,WARRENTON,VA,38.751667,-77.671667,392,
04W,KEECH,BELHAVEN,NC,35.621667,-76.763333,18,
04WA,OX MEADOWS,SPOKANE,WA,47.581667,-117.43667,2345,
04WI,DUTCH GAP AIRSTRIP,BRISTOL,WI,42.523333,-88.016667,760,
04X,DORAL OCEAN BEACH RESORT,MIAMI BEACH,FL,25.825,-80.121667,6,
04XS,NAPIERS,MANSFIELD,TX,32.581667,-97.143333,625,
04Y,HAWLEY MUNI,HAWLEY,MN,46.883333,-96.351667,1208,122.8
05B,VAN BUREN,VAN BUREN,ME,47.158333,-67.931667,440,122.9
05C,GRIFFITH-MERRILLVILLE,GRIFFITH,IN,41.52,-87.401667,634,123
05CA,LOST HILLS SHERIFF'S STATION,CALABASAS,CA,34.141667,-118.52667,836,
05CO,RANCHO DE AEREO,MEAD,CO,40.215,-104.985,4978,
05D,NEW TOWN MUNI,NEW TOWN,ND,47.966667,-102.47833,1927,122.9
05E,RANTA STRIP,MORRISTOWN,AZ,33.853333,-112.65333,1840,
05F,CITY-COUNTY,GATESVILLE,TX,31.421667,-97.796667,905,122.9
05FD,AVENTURA,NORTH MIAMI BEACH,FL,25.961667,-80.14,6,
05FL,OCALA,OCALA,FL,29.171667,-82.15,25,
05G,WILLIAMS FIELD,SANDUSKY,MI,43.341667,-82.836667,772,
05GA,BEAVER RUIN,NORCROSS,GA,33.93,-84.153333,990,
05II,REICHHART,NEW HAVEN,IN,41.028333,-84.996667,795,
05IS,HARDY,MOUNT AUBURN,IL,39.726667,-89.263333,605,
05J,BONNER FIELD,ROBERTSDALE,AL,30.55,-87.65,125,
05KS,ROLLMAN PRIVATE,WASHINGTON,KS,39.791667,-96.975,1380,
05L,HUGHES-FULLERTON (GROUND LEVEL),FULLERTON,CA,33.878333,-117.965,154,
05LA,GREG'S FLYING SERVICE,BASKIN,LA,32.265,-91.698333,76,
05LL,MIDWEST,WILLOWBROOK,IL,41.748333,-87.935,710,
05M,PAULS VALLEY GENERAL HOSPITAL,PAULS VALLEY,OK,34.716667,-97.216667,911,122.9
05MI,ERIE AERODROME,ERIE,MI,41.783333,-83.516667,605,
05MN,SOWIEJA,FARMINGTON,MN,44.635,-93.071667,920,
05N,WHITE MOUNTAIN,NORTH CONWAY,NH,44.025,-71.118333,495,122.8
05ND,KLESSIG STRIP,GALESBURG,ND,47.208333,-97.471667,1208,
05NE,MC KAY,SPALDING,NE,41.721667,-98.308333,2010,
05NJ,COLGATE-JERSEY CITY,JERSEY CITY,NJ,40.713333,-74.031667,7,
05NY,OSWEGO COUNTY AT PULASKI,PULASKI,NY,43.551667,-76.09,445,
05OR,PEACOCK RANCH,ENTERPRISE,OR,45.441667,-117.35167,3500,
05PA,PHILADELPHIA MARKET STREET,PHILADELPHIA,PA,39.955,-75.178333,110,
05PN,STATE POLICE AREA III,HARRISBURG,PA,40.3,-76.858333,485,
05Q,CAMANCHE SKYPARK,IONE,CA,38.263333,-120.92333,520,
05R,SAN JACINTO METHODIST HOSPITAL,BAYTOWN,TX,29.738333,-94.98,19,
05S,VERNONIA AIRFIELD,VERNONIA,OR,45.851667,-123.24167,647,122.9
05T,HILDE-GRIFF FIELD,GEORGETOWN,TX,30.721667,-97.791667,950,
05TS,DEW DROP,JUSTIN,TX,33.13,-97.358333,750,
05TX,CIRCLE 'A' RANCH,BLUM,TX,32.13,-97.405,608,
05U,EUREKA,EUREKA,NV,39.605,-116.005,5954,122.9
05V,BLANCA,BLANCA,CO,37.411667,-105.55167,7720,122.9
05VA,PROVIDENCE,FARMVILLE,VA,37.223333,-78.418333,445,
05W,RIVERSIDE CAMPGROUND,BELHAVEN,NC,35.581667,-76.515,4,
05WA,SACRED HEART MEDICAL CENTER HELI,SPOKANE,WA,47.648333,-117.41333,2220,
05WI,AMES PRIVATE,DARIEN,WI,42.651667,-88.746667,958,
05Y,HENNING MUNI,HENNING,MN,46.303333,-95.44,1455,122.9
06A,MOTON FIELD MUNICIPAL,TUSKEGEE,AL,32.46,-85.68,264,122.8
06B,LUCKY LANDING MARINA AND SPB,BANGOR,ME,44.906667,-68.805,115,122.9
06C,SCHAUMBURG AIR PARK,CHICAGO/SCHAUMBURG,IL,41.99,-88.101667,797,123
06CA,SCE SOLAR I,YERMO,CA,34.87,-116.835,1942,
06D,ROLLA MUNI,ROLLA,ND,48.881667,-99.62,1820,122.8
06FD,WILLIAMS ROAD HELISTOP,FORT MYERS,FL,26.418333,-81.825,12,
06FL,MORTON PLANT HOSPITAL,CLEARWATER,FL,27.953333,-82.805,3,
06G,YOUNGSTOWN EXECUTIVE,YOUNGSTOWN,OH,41.06,-80.831667,997,122.8
06GA,SMITH,REDAN,GA,33.753333,-84.161667,1065,
06I,PATOKA RESERVOIR LANDING AREA,FRENCH LICK,IN,38.433333,-86.691667,536,122.9
06II,BILL SHANK,NOBLESVILLE,IN,40.023333,-86.036667,767,
06IL,THUDWHOMP,ILLINOIS CITY,IL,41.4,-90.99,700,
06IS,SINELE STRIP,NAUVOO,IL,40.546667,-91.275,695,
06J,SID'S STRIP,CHIPLEY,FL,30.815,-85.571667,83,
06K,PHILLIPS,LEWISTOWN,MO,40.075,-91.79,715,
06KS,RIVERSIDE HOSPITAL AIRLIFT,WICHITA,KS,37.696667,-97.373333,1332,
06LA,OFFSHORE SERVICE SHIPS,BELLE CHASSE,LA,29.846667,-90.028333,-1,
06M,EUPORA,EUPORA,MS,33.535,-89.313333,450,122.9
06MI,W A FOOTE MEMORIAL HOSPITAL,JACKSON,MI,42.251667,-84.391667,965,
06MN,KENT FIELD,GIBBON,MN,44.511667,-94.521667,1036,
06MO,NOAHS ARK,WALDRON,MO,39.23,-94.805,755,
06N,RANDALL,MIDDLETOWN,NY,41.431667,-74.393333,524,122.8
06ND,FITTERER'S STRIP,GLEN ULLIN,ND,46.748333,-101.67,2180,
06NE,ST MARYS HOSPITAL,NEBRASKA CITY,NE,40.68,-95.861667,1015,
06NJ,CHEMICAL BANK - NEW JERSEY NA,MOORESTOWN,NJ,39.95,-75,25,
06OH,HAL JOY AIRFIELD,WILLIAMSFIELD,OH,41.51,-80.591667,1160,
06OK,ALBERT LODGE,GROVE,OK,36.541667,-94.833333,900,
06OR,HAYDEN MOUNTAIN,FOREST GROVE,OR,45.465,-123.08,850,
06Q,RANCH AIRSTRIP,IONE,CA,38.336667,-120.97333,300,
06R,GRAWUNDER FIELD,BELLVILLE,TX,29.941667,-96.246667,289,122.8
06S,ACME FIELD,ACME,WA,48.71,-122.17833,301,
06TA,GLASER FIELD,BUCKHOLTS,TX,30.908333,-97.116667,480,
06TS,ROSCOE MC CONNICO,KERENS,TX,32.12,-96.178333,350,
06U,JACKPOT AIRPORT/HAYDEN FIELD,JACKPOT,NV,41.976667,-114.65833,5213,122.8
06VA,SAVAGE FARM,RUSTBURG,VA,37.271667,-79.175,1000,
06WA,N A DEGERSTROM YARD,SPOKANE,WA,47.686667,-117.19833,2013,
06WI,YOUNG PRIVATE,FREDERIC,WI,45.663333,-92.45,1075,
06X,PARRISH BROTHERS PRIVATE,MICCO,FL,27.875,-80.516667,24,
06XS,DIAMOND,PASADENA,TX,29.683333,-95.145,47,
06Y,HERMAN MUNI,HERMAN,MN,45.83,-96.16,1068,122.9
07A,FRANKLIN FIELD,UNION SPRINGS,AL,32.166667,-85.81,301,122.8
07B,BLUE HILL,BLUE HILL,ME,44.446667,-68.566667,360,122.9
07CA,WEST SIDE HOSPITAL,TAFT,CA,35.138333,-119.45167,850,
07D,TACKABERRY,AVOCA,MI,43.063333,-82.725,770,
07E,NAVAJO NR 5,NAVAJO,AZ,34.886667,-109.42667,6440,
07F,GLADEWATER MUNI,GLADEWATER,TX,32.528333,-94.971667,297,122.8
07FD,FLYING G RANCH,LEE,FL,30.418333,-83.283333,90,
07FL,SOUTHWEST FLORIDA REGIONAL MEDIC,FORT MYERS,FL,26.605,-81.86,18,
07G,FITCH H BEACH,CHARLOTTE,MI,42.575,-84.811667,891,123
07H,SCHNELLE,URSA,IL,40.098333,-91.396667,491,
07I,LAKE MONROE,BLOOMINGTON,IN,39.058333,-86.446667,538,122.9
07II,JENNINGS HOSPITAL,NORTH VERNON,IN,39.01,-85.64,740,
07IL,HALEY FIELD,JOLIET,IL,41.493333,-88.201667,590,
07K,CENTRAL CITY MUNI,CENTRAL CITY,NE,41.116667,-98.05,1715,122.9
07KS,HEAPE FIELD,AUGUSTA,KS,37.735,-96.936667,1330,
07LA,AIR OIL INC  NR 1,HARAHAN,LA,29.936667,-90.183333,0,
07LL,DUNLAP,BRIDGEPORT,IL,38.725,-87.743333,445,
07M,HASTING AIRPARK,BRUCE,MS,33.995,-89.313333,275,122.9
07MI,SCOTT AIRSTRIP,LAKE,MI,43.865,-85.023333,1065,
07MN,DAIRYVIEW,HADLEY,MN,44.055,-95.91,1680,
07MO,LAKE SEXTON,WARRENSBURG,MO,38.65,-93.616667,880,
07N,BERMUDIAN VALLEY AIRPARK,KRALLTOWN,PA,40.016667,-77.003333,470,122.8
07ND,BACKFISCH STRIP,GOLDEN VALLEY,ND,47.156667,-102.065,1875,
07NJ,PALISADES GENERAL HOSPITAL,NORTH BERGEN,NJ,40.791667,-73.995,10,
07NY,HOUGH-MCGEE,SELDEN,NY,40.871667,-73.036667,80,
07OK,PLEASANT VALLEY,SNYDER,OK,34.633333,-99.033333,1322,
07OR,BRUCE'S,MILWAUKIE,OR,45.421667,-122.62,250,
07PA,MALICKSON,PHOENIXVILLE,PA,40.16,-75.493333,315,
07PN,AT&T,HARRISBURG,PA,40.248333,-76.806667,460,
07Q,JACKSON LAKE,JACKSON LAKE,CA,39.461667,-120.56667,6650,
07R,BISHOP MUNI,BISHOP,TX,27.61,-97.751667,55,122.9
07S,DEER PARK,DEER PARK,WA,47.968333,-117.42167,2207,122.8
07TA,SALAIKA AVIATION,DANBURY,TX,29.24,-95.345,30,
07TX,PECKS,PRINCETON,TX,33.183333,-96.448333,660,
07V,CUCHARA VALLEY AT LA VETA,LA VETA,CO,37.523333,-105.01,7153,122.7
07VA,ALPHA HOTEL,CLOVER,VA,36.82,-78.783333,350,
07W,BRICKHOUSE FLD,BURGAW,NC,34.413333,-77.95,31,
07WA,DEACONESS MEDICAL CENTER,SPOKANE,WA,47.651667,-117.425,2110,
07WI,BARTELL STRIP,GENESSEE DEPOT,WI,42.965,-88.391667,990,
07Y,HILL CITY-QUADNA MOUNTAIN,HILL CITY,MN,46.955,-93.596667,1289,122.9
08A,WETUMPKA MUNI,WETUMPKA,AL,32.53,-86.328333,197,122.8
08AK,ATMAUTLUAK,ATMAUTLUAK,AK,60.866667,-162.27333,17,122.9
08B,MERRYMEETING FIELD,BOWDOINHAM,ME,44,-69.886667,65,122.8
08C,RIVERVIEW,JENISON,MI,42.936667,-85.805,603,122.9
08CA,PG & E CO. PLACERVILLE SVC CENTE,DIAMOND SPRINGS,CA,38.695,-120.82667,1810,
08CO,TRACT C-A-84 MESA AIRSTRIP,RANGELY,CO,39.946667,-108.43833,6550,
08D,STANLEY MUNI,STANLEY,ND,48.3,-102.40667,2239,122.9
